Museum Name ,City,Type,Description,Location
Tattoo caravans museum for museum display,Dharma,Licensed private museums,"It is located in the Riyadh region and includes a collection of heritage collectibles, rare stones and photographs with a clay building character that carries the culture of the region.",https://maps.app.goo.gl/rAbBCubERZ6LFp5TA
Ibn Aqeel Historical Palace Museum,Al-Qassim,Licensed private museums,"It is located in Al-Rass Governorate, in the Qassim region, where the museum was designed to contain various sections and corners, a special corner for the Kingdom's Vision 2030 in addition to the corner of the Battle of the Valley, and the visitor enjoys watching the house of the first two and the prevailing urban style.",https://maps.app.goo.gl/hkKagmU3PLgCDy8Q6
Matir Al-Aish Historical and Heritage Village Museum for museum display,Al-Baha,Licensed private museums,"The museum is located in Al-Baha area in the village of Al-Hujrah, which is a heritage village that tells the heritage of the region with all its holdings and includes heritage holdings consisting of hospitality tools, weapons, and leather.",https://maps.app.goo.gl/sdUrFRoX8Y3KMUht5
Bin Hamsan Heritage Village Museum,Khamis Mushayt,Licensed private museums,"Located in the Asir region of Khamis Mushait Governorate, the museum consists of an ancient heritage facility. The museum includes a number of photographs that tell the history of the unification of the Kingdom, in addition to the development renaissance witnessed by the Kingdom in various fields. It also contains many heritage pieces, including transportation and agricultural tools, weapons, handicrafts, and plastic arts.",https://maps.app.goo.gl/L6QDhgAJudzfT56b6
Al Olayan Village Museum,Al-Namas,Licensed private museums,"The museum is located in Al-Namas Governorate in the Asir region, and the building consists of three floors, the first floor was devoted to agriculture and tools related to the craft of agriculture, the second floor was devoted to clothes, jewelry, and what is related to women, their clothes, decorations, etc., and the third floor was devoted to cooking utensils, food, drink and coffee.",https://maps.app.goo.gl/FQ2XgcYcuXRNkoWK7
Old education museum,Riyadh,Licensed private museums,"The museum is located in Riyadh and the museum reviews the march of a century by documenting the story of education in the Kingdom and the successive stages in a language that speaks of its reality, and the museum contains anecdotes of education along with documents, tools, means, records, and related images.",https://maps.app.goo.gl/qBmVGjwnprHc7Ck56
Fathi bin Ahmed bin Darwish Al-Binali Museum,Qatif,Licensed private museums,"The museum is located in the Eastern Province of Qatif Governorate and consists of a large collection of memorial photos, models of sailing ships, a number of swords, a large collection of various pottery, and wooden chairs.",https://maps.app.goo.gl/yWKt1S4msqRLszdb7
Bride of Summer Resorts Museum,Taif,Licensed private museums,"The museum is located in Taif and contains a number of diverse heritage pieces, as the museum includes the Hijazi Council and the Arab Council, a group of women's decorations, ancient weapons, acoustic instruments, holdings of the Grand Mosque in Mecca, marine holdings, agricultural tools, water, a visual gallery, historical newspapers and an education corner.",https://maps.app.goo.gl/e6M5BZeAkb4nKGdm7
Abdullah bin Muhammad Ababtain Museum of Documents and Manuscripts,Sadeer,Licensed private museums,"Located in the Rawdat Sudair Center of Majmaah Governorate, north of the Riyadh region, the museum houses a variety of rare artifacts, ranging from weapons, documents, manuscripts and ancient maps that tell the story of the Arabian Peninsula, to Islamic coins, wooden and copper craft tools and ancient devices. The museum also includes a special bridal corner highlighting authentic marriage traditions, a grocery corner displaying old shopping items, as well as a collection of rare newspapers and magazines.",https://maps.app.goo.gl/L7XCHwbTHQ1tBkwT6
Abdullah Ibn Saad Ibn Muhammad Al-Rumaih Museum for museum display,Ahad Rufaida,Licensed private museums,"Located in the Rawdat Sudair Center of Majmaah Governorate, north of the Riyadh region, the museum houses a variety of rare artifacts, ranging from weapons, documents, manuscripts and ancient maps that tell the story of the Arabian Peninsula, to Islamic coins, wooden and copper craft tools and ancient devices. The museum also includes a special bridal corner highlighting authentic marriage traditions, a grocery corner displaying old shopping items, as well as a collection of rare newspapers and magazines.",https://maps.app.goo.gl/PKogVzpcTzXQZFRb6
Abdul Aziz Al-Radayan Museum for Museum Display,Dharma,Licensed private museums,"Located in Dhurma Governorate in the Riyadh region, the museum represents the Saudi Najdi House, as it includes many handicrafts as well as old classic cars.",https://maps.app.goo.gl/Tcky1p5xfApXyXju6
Abdul Raouf Khalil Museum,Mecca,Licensed private museums,"Located in the Makkah region of Jeddah, the museum displays a variety of archaeological artifacts that tell the story of the region and its heritage, many of which date back to the different historical eras of the Arabian Peninsula and Islamic civilization.",https://maps.app.goo.gl/ACRhJDeGsiP7nJDR6
Abdul Razzaq Abdullah Al Hurr Museum,Hail,Licensed private museums,"Located in the Hail region, the museum is housed in an authentic heritage house, displaying a variety of antiquities, ranging from traditional weapons and handmade leather to ancient household items. The museum's architecture highlights the authentic character of the area.",https://maps.app.goo.gl/XXMtQ7FHSxQFxr2eA
Abdul Rahman Museum displaced Abdul Rahman Al-Shehri for museum display,Al-Namas,Licensed private museums,"It is located in Al-Namas Governorate, in the Asir region, and includes more than two thousand diverse heritage pieces and includes a popular house that is nearly three hundred years old, and includes household utensils and electronic devices and aims to preserve the heritage of the region.",https://maps.app.goo.gl/ycKZrH8hhbth4g957
Abdul Rahman Al Rajhi Museum for museum display,Al-Qassim,Licensed private museums,"The museum is located in Al-Bukayriyah Governorate in the Qassim region, and embodies the image of the old house. The museum houses a collection of heritage objects that were used in the past in the fields of trade, industry and agriculture, as well as in daily life. These pieces vary between wooden, leather, and copper, and include all the tools used by grandparents in the past, in addition to traditional clothes and ornaments for women, children and men. The museum features puppets accompanied by sound simulations, giving the experience a realistic feel.",https://maps.app.goo.gl/HsRJXasnJyHRhFXi9
Migration Route Museum,AL Madinah AL Munawwarah,Licensed private museums,"The museum is located in Medina and contains a variety of heritage holdings and the museum is characterized by its location on the migration road, which is the road linking Makkah and Medina, as the migration path is the Prophet's migration route that the Prophet - may God bless him and grant him peace - and his companions from Mecca to Medina in 622 AD.",https://maps.app.goo.gl/x7dmgzJbuCubwVRP6
Basra Pilgrimage Route Museum,Hafar Al-Batin,Licensed private museums,"The museum is located in the Eastern Province of Hafr Al-Batin Governorate with a clay building and contains a group of sections. Each section specializes in specific collectibles, including: weapons, electronic devices, precious stones, and women's jewelry with the character of the region.",https://maps.app.goo.gl/SekFFDv8wMaW8ffd6
Dahi Awaid Al-Aroui Museum,AL Madinah AL Munawwarah,Licensed private museums,"The museum is located in the Medina area in the village of Shajwa and contains various heritage pieces and collectibles of copper, old clothes, leather, some old coins and some ancient handicraft collectibles.",https://maps.app.goo.gl/u96zo4gtN5XyhnkH9
Hudaybiyah Peace Museum,Mecca,Licensed private museums,"The museum is located in Makkah and includes a collection of various heritage holdings such as hospitality tools, coffee, household utensils, electronic devices and photographs.",https://maps.app.goo.gl/1ej15mDpLApQ454HA
Shaqra Museum,Riyadh,Licensed private museums,"The museum is located in Shaqra Governorate in the Riyadh region, and is an important source for researchers and those interested in history and archeology and those interested in the life of Saudis in the Riyadh region throughout the different stages of their history, as it includes a large number of copper utensils used to make Arabic coffee in particular, in addition to the presence of some cooking utensils and tools used in sheep grazing, and rugs that characterize the Arab ground sessions.",https://maps.app.goo.gl/GApFgtJmdkc8ZLZ66
Saeed Al Buwaitan Museum,Al-Qassim,Licensed private museums,"The museum is located in the Qassim region of Unaizah Governorate and contains ten rooms, and each room is specialized in displaying collectibles such as: education corner, bride corner, tea corner, coffee corner, corner for old shops, and a cultural council.",https://maps.app.goo.gl/uV3gok8TXEPbqMQs6
Salem Eid Al-Juhani Museum for museum display,AL Madinah AL Munawwarah,Licensed private museums,"It is located in Yanbu Governorate, in the Medina region, and contains a variety of heritage holdings of ancient weapons, stuffed animals, and a variety of shops such as copper, perfumer, library, barber, tailor, carpenter, and blacksmith.",https://maps.app.goo.gl/2mD7Pqj4zhqGR9P99
Khalid bin Abdul Rahman bin Ali Albu Obaid Museum for museum display,Al-Ahsa,Licensed private museums,"It is located in Al-Ahsa Governorate in the Eastern Province, and contains the old popular market divided into several sections and includes 14 shops and old coffee, in addition to groceries, baker, blacksmith, yolk, tailor, naddaf, barber, pilgrims, jewelers, and kharraz, and a section for coins, old needs of women, household utensils, and inherited toys.",https://maps.app.goo.gl/bdaZYZ8xSw6trEMk7
Hamad Al Salem Museum,Riyadh,Licensed private museums,"The museum is located in the city of Ushaiger, in the Shaqra Governorate in the Riyadh region. It reflects ancient heritage, and includes several corners containing various artifacts that were used in the past, such as cooking utensils, weapons, coins and papers. The museum also houses ancient heritage pieces, some of which are more than three hundred years old, and these pieces include materials made of wood, leather, and copper, in addition to tools used by grandparents in the past, including women's accessories for decoration and dress.",https://maps.app.goo.gl/RnnpiX8sLgyvqxDm6
Hasma Heritage Museum for museum display,Tabuk,Licensed private museums,"Located in the Tabuk region, the museum houses a large collection of heritage pieces that embody the region's history, culture and diverse civilization.",https://maps.app.goo.gl/zGRRiS9Lxs8TSAw67
Harf Zaman Museum,Mecca,Licensed private museums,"The museum is located in Makkah Al-Mukarramah and contains a collection of heritage collectibles and simulates the past in the old market with a group of shops for all diverse specialties in perfume shops, locks, keys, and old perfumer shops.",https://maps.app.goo.gl/vKBLZNpy2RaFGS3z5
Jarallah Al Adib Heritage Museum,Riyadh,Licensed private museums,"The museum is located in Riyadh, and contains various heritage collectibles, models of old houses, stuffed animals, classic cars, and photographs.",https://maps.app.goo.gl/2GtXwneYPFXuA9rc8
Timniya Heritage Museum,Khamis Mushayt,Licensed private museums,"The museum is located in Asir region in Khamis Mushait Governorate and consists of three rooms built in the ancient heritage style inspired by the region's environment. The first hall displayed a large collection of ancient weapons, swords, daggers, some shields and spears, as well as old cooking utensils and ornaments.",https://maps.app.goo.gl/QK6CVfk3P28Buaat7
Coffee History Heritage Museum,Al-Ahsa,Licensed private museums,"Located in Al-Ahsa Governorate, the museum tells the story of the beginning of coffee from the beginning of its discovery to the twenty-first century, and the museum aims to enrich the heritage and culture of coffee and highlight the Kingdom as a major home for coffee.",https://maps.app.goo.gl/y2MoY49yV4V48E9D9
Mutawa House Museum,Riyadh,Licensed private museums,"The museum is located in Riyadh, which is a heritage house that simulates the old building style in the interior and exterior colors of the entire building and contains various pictures and collectibles.",https://maps.app.goo.gl/XRRemKdGaiRmATJv9
Sadu House Museum,Tabuk,Licensed private museums,"The museum is located in the Tabuk region of Taima Governorate and contains pieces of Sadu of different sizes and purposes, various coins, ancient utensils, and coffee preparation tools. It also emulates the past in an old style for all kinds of clothes with a regional theme.",https://maps.app.goo.gl/ehiPXWrgBUGCx6CE9
Bait Al-Aseel Museum for museum display,Mecca,Licensed private museums,"Located in Makkah, the museum houses a collection of heritage items that include hospitality tools, household utensils, and metal pieces.",https://maps.app.goo.gl/Nn7W1bxmd8rpsDbG9
Bu Bakr Al-Amoudi Museum,Mecca,Licensed private museums,"It is located in the city of Makkah Al-Mukarramah and contains a variety of heritage holdings and the museum is characterized by the unique architectural style in the Makkah region, where it tells the heritage design of what was the attic of palaces and ancient castles and the display of some of the holdings used at that time of agricultural tools, clothes and weapons, in addition to a corner to teach some handicrafts.",https://maps.app.goo.gl/SPBYRybSqSfBUyTZ9
Bint Al-Janoub Museum,Al-Baha,Licensed private museums,"The museum is located in the Al Baha region and includes a variety of heritage collectibles, such as bridal tools, sewing and agriculture, in addition to hospitality tools, copper, pottery and leather artifacts, stone tools and weapons, wickers, and clothing for the residents of the Al Baha region.",https://maps.app.goo.gl/1nzhuse4FAMT82v98
Ben Hadir Museum,Al-Mujardah,Licensed private museums,"Located in the Asir region of Al-Majardah Governorate, the museum includes a variety of heritage pieces and vintage classic cars.",https://maps.app.goo.gl/GZSK6mipBEFUovvB6
Ben Bella Museum,Al-Mujardah,Licensed private museums,"The museum is located in the Asir region of Al-Mujardah Governorate, and includes a large collection of heritage collections. The museum also consists of several corners, including the wicker corner, the old school corner and its tools.",https://maps.app.goo.gl/CmX3crYgqdD9rpLG7
Belgazi Heritage Museum for museum display,Jazan,Licensed private museums,"It is located in the city of Jizan, and the museum contains heritage pieces, an old living room bearing the character of the region, a room for our ancient past, and a heritage classroom that displays the old folk costume of the people of the region, as the museum aims to preserve the local heritage, spread the region's heritage and attract tourists.",https://maps.app.goo.gl/2Ks9toUeFLUyrDB98
Bachute Heritage Museum,Belqarn,Licensed private museums,"It is located in Balqarn Governorate in the Asir region and has become a shrine for those who love the heritage of parents and grandparents frequented by all nationalities and countries, and visitors are introduced to the heritage of the region, where the museum includes more than three thousand heritage pieces in addition to rare and ancient manuscripts and a portrait of important figures.",https://maps.app.goo.gl/im8gsbwAAbhAqMZL7
Palm Museum,Qatif,Licensed private museums,The museum is located in the Eastern Province of Qatif Governorate and contains approximately five hundred diverse heritage pieces distributed over exhibition halls and collections of electronic devices.,https://maps.app.goo.gl/JFS46SBGhPiwD7mZA
Saudi Coffee Museum,Mecca,Licensed private museums,"The museum is located in Makkah Al-Mukarramah in the Hira Cultural District, next to the Haram, and the museum symbolizes hospitality and generosity, which is an authentic component of the culture of Saudi society and coincides with the Saudi Year of Coffee 2022 AD. Saudi coffee was held within the components of the Hira Cultural Neighborhood so that visitors to the neighborhood can enjoy sipping Saudi coffee and learn about the cultural diversity in its tools, components, and methods of preparation in the different regions of Saudi Arabia. The visitor will experience the atmosphere of the identity of the different architectural areas of Saudi Arabia along with the smell and taste of coffee.",https://maps.app.goo.gl/3xe2Jpw4VnKx4EHF6
Museum of the Holy Quran,Mecca,Licensed private museums,"The museum is located in Makkah in the Hira Cultural District, next to the Haram, and the museum aims to introduce the Book of God Almighty through accurate content and a wide system of technologies, and contains a collection of ancient manuscripts, and contemporary modern technologies, and the aim of which is to deliver the message to Muslims and bring them closer to the Holy Quran.",https://maps.app.goo.gl/xa3mE7QP8BcMNQM76
Home Arts Museum,Mecca,Licensed private museums,"The museum is located in Makkah Al-Mukarramah region in Jeddah Governorate, and the museum contains Islamic and European halls, and some halls mixed with different civilizations, through the display of historical pieces before the first century AH.",https://maps.app.goo.gl/sYD2HahTPfUy7D2C7
Clinic Museum,Hail,Licensed private museums,"The museum is located in the Hail region of Jubbah Governorate, this museum contains a winter and summer council, the maqad, the house, the store, the shrine and the mosque, and there is a beautiful side of the life of the ancient Badia embodied by this museum.",https://maps.app.goo.gl/8P2PYhwwvTTCTjma9
Udaybiyah Museum,Zulfi,Licensed private museums,"Located in the Zulfi Governorate, north of the Riyadh region, it includes a variety of heritage collectibles, as well as a collection of classic cars.",https://maps.app.goo.gl/aveMWRBxGwxC5V568
Stone Age Museum,Hail,Licensed private museums,"Located in the Zulfi Governorate, north of the Riyadh region, it includes a variety of heritage collectibles, as well as a collection of classic cars.",https://maps.app.goo.gl/ddFgCKHH14MXTMdr5
Al-Taybeen Museum,Al Khubar,Licensed private museums,"It is located in Al-Khobar Governorate, in the Eastern Province and offers an unexpected journey to the past, telling the details of community life in the period between the seventies and the end of the nineties AD, and contains more than ten thousand heritage pieces, which include the requirements of the generation of food, drinks, devices, games and other pieces that carry a beautiful memory for each person, which is a humanitarian gesture to preserve the community heritage",https://maps.app.goo.gl/BUsf3hLtXZokR6Y18
Al-Duwaihi Heritage Museum in Zulfi,Riyadh,Licensed private museums,"Located in Zulfi Governorate, in the Riyadh region, it contains various pieces of holdings of old household items and ornaments adorned by women made of silver, as well as old daggers and types of swords and guns, in addition to ancient artistic and musical tools, and some copies of Saudi newspapers, Arab magazines and old books, in addition to many coins, some of which date back to the eras of the Caliphate and Islamic and Arab countries",https://maps.app.goo.gl/R5ZmXrbkBqgvWY6B7
Al-Dhahi Heritage Museum,Mahayil Asir,Licensed private museums,"Muhayil Asir Governorate, in the Asir region. Featuring a collection of hospitality tools, coffee, household utensils, agricultural tools and leather, the museum aims to preserve the heritage of the region.",https://maps.app.goo.gl/j4uRDPPueKibJwqq8
Al Safia Museum,AL Madinah AL Munawwarah,Licensed private museums,"Located in Medina, the Museum of the Story of Creation within the Bustan Al-Safia Museum is the first museum of its kind that tells the story of creation through a narrative in which the latest technologies were used with a range of technologies and a group of collectibles in a unique experience for visitors, as well as a number of shops, restaurants and cafes distributed throughout the project to meet the needs of visitors.",https://maps.app.goo.gl/GDyrmtYHPtHEq9Ws5
Sharif Museum,Taif,Licensed private museums,"The museum is located in Makkah Al-Mukarramah region in Taif Governorate and contains a collection of heritage holdings of weapons, coffee tools, agricultural tools, cooking utensils, clothes, and women's jewelry, and includes a market with a group of shops for crafts and professions.",https://maps.app.goo.gl/WtDef3stT7n5sTjX7
Museum of past years,Riyadh,Licensed private museums,"The museum is located in Riyadh, Diriyah Governorate, and it is a heritage mud house that simulates the past in the old style and contains heritage holdings of weapons, devices, utensils, leather, and wax figures.",https://maps.app.goo.gl/5BB6Nq6AZNbULjiw9
Al-Raqi Museum,Dammam,Licensed private museums,"It is located in Dammam in the Eastern Province, and contains a collection of heritage collectibles of leather, cooking tools, educational tools, hospitality tools and electronic devices.",https://maps.app.goo.gl/nxaifMGgUFAV7y5N9
Al-Rass Historical Museum,Al-Qassim,Licensed private museums,"It is located in Al-Rass Governorate, in the Qassim region, and includes a collection of documents, the wives of Al-Rass, the Al-Watan Library, a section for agriculture and agriculture, a collection of old construction tools, a section for education and its origin, types of stones and popular games.",https://maps.app.goo.gl/HG9HuADMvNu1VtAS9
Al-Raqdi Museum,Abha,Licensed private museums,"The museum is located in the Asir region of Abha, and contains several sections, including the copper section, the clothing section, the old kitchen section, in addition to handicrafts and agricultural tools. The museum also includes a special section for the old Asiri Council, the Tohami session section, and the Asiri village and stone architecture section.",https://maps.app.goo.gl/gLfRqEdX6rMsNP3Q8
Al Khalifa Heritage Museum,Al-Ahsa,Licensed private museums,"It is located in Al-Ahsa Governorate in the Eastern Province, and includes thousands of pieces and rare heritage collectibles and includes a small market inside the museum that is a group of kiosks or shops and make each shop for a specific craft and added to it the tools and machines that belong to that craft as well as the tools and means of ancient education.",https://maps.app.goo.gl/KgYtUomF4Skz1ZoP8
Museum of Civilized Calligraphy for museum display,Qatif,Licensed private museums,"The museum is located in the Eastern Province of Qatif Governorate and contains several halls and corridors divided because they contain various cameras, a section for canned goods, and a section for various glassware in shapes, sizes and dishes for decoration, which carry pictures of Arab kings and leaders, and old craft equipment.",https://maps.app.goo.gl/kg2eyQLJP9cAaYFT8
Al Hamdan Heritage Museum,Riyadh,Licensed private museums,"Located in Riyadh, its architectural design is inspired by traditional Najdi mud houses, and contains halls displaying a wide range of collectibles and artifacts, as well as a classic car exhibition.",https://maps.app.goo.gl/iXGejYhitUZj16F67
Al-Jamoum Museum,Mecca,Licensed private museums,"It is located in Makkah and contains heritage holdings consisting of hospitality tools, coffee, household utensils, leather, a collection of coins, classic cars, a blacksmith corner, a carpentry corner, and a wicker and wool corner.",https://maps.app.goo.gl/kyAREh1udf7UZwiWA
Al Jahal Heritage Museum,Abha,Licensed private museums,"The museum is located in the city of Abha, and it is an old stone house decorated with the inscription of the Asiri cat. It was established in 1397 AH and contains a wide range of heritage pieces consisting of twenty-three diverse corners.",https://maps.app.goo.gl/iXg6H5PjPxbhcHgB9
Al Asala Heritage Museum,Hail,Licensed private museums,"It is located in the Hail region, a museum characterized by a large area and contains a large collection of rare holdings of various weapons, armor, coffee tools and accessories, and a group of points of sale for productive families.",https://maps.app.goo.gl/PQMz5cPyn1ZiLicn8
Deira Authenticity Museum for museum display,Qatif,Licensed private museums,The museum is located in the Eastern Province of Qatif Governorate on Tarout Island near the castle and the museum includes many pottery and manuscript sections.,https://maps.app.goo.gl/CibE4HqcmiBeguv76
Asma Saleh Farhan Al-Balawi Museum for museum display,Tabuk,Licensed private museums,"It is located in Al-Fara'a Governorate in the Tabuk region and contains a variety of heritage holdings of weapons, ancient medical tools for teeth, daggers, and old coffee and tea preparation tools.",https://maps.app.goo.gl/w5vXB91aQ9i61Gzx6
Abu Noura Heritage Museum,Al-Mujardah,Licensed private museums,"The museum is located in Al-Majardah Governorate in the Asir region and contains various heritage holdings bearing the character of the region, as it consists of the bride's hall, the mother's kitchen, the stuffed animals corner, the Tihamiya nest, the old weapons hall and the agricultural tools hall.",https://maps.app.goo.gl/wkJixL3tXadwTsU16
Abu Bakr Al-Amoud Heritage Museum,AL Madinah AL Munawwarah,Licensed private museums,"The museum is located in Medina, where the museum was formed with an old heritage building in the style of the region, and the museum contains a large collection of heritage holdings that tell about the culture of Medina.",https://maps.app.goo.gl/vHhwaTCAfZoRg7NZ7
Ibn Soufan Historical Museum,Al-Namas,Licensed private museums,"The museum is located in the Asir region of Al-Namas Governorate, and the museum consists of four large exhibition halls in addition to an outdoor open hall, and the museum contains about one thousand and two hundred heritage pieces, including: agricultural tools, irrigation, in addition to the presence of a special wing for coins, and a special part for weapons, utensils, and old photos.",https://maps.app.goo.gl/PvpaFKpy8FJ37qbu6
House of Islamic Arts,Mecca,Licensed private museums,"The museum is located in Makkah Al-Mukarramah in Jeddah and includes more than a thousand rare heritage pieces, and it is a museum specialized in Islamic art, and includes collections and works of art that reduce time and represent many schools of different eras of arts of Islamic civilization, which are of historical and cultural value.",https://maps.app.goo.gl/v82j21KN3y31p3yj9
History of roses,Taif,Licensed private museums,The museum is located in Makkah Al-Mukarramah region in Taif Governorate and the museum is a miniature factory for the process of extracting rose water in all its stages and includes the old pieces used in this specialty.,https://maps.app.goo.gl/J6LDLftLBoH7LN596
Folk village,Dammam,Licensed private museums,"The museum is located in the Eastern Province of Dammam and consists of a mud building of four castles, each castle bears a character for the regions of the Kingdom, and contains a collection of ancient heritage holdings from the Grand Mosque in Mecca, classic cars, stuffed animals, and coins.",https://maps.app.goo.gl/f6gaTyzyvg1yYbDR7
Diriyah Center for Future Arts,Riyadh,Public museums,"The first center in the region to dedicate itself to the new media arts (new media arts). Based in historic Diriyah, the Centre is pioneering new frontiers for creative practice that intersects with art, science and technology, achieving this through education and empowerment, and creating vast spaces for the creativity of artists from around the world.",https://maps.app.goo.gl/yq1e9EUPkNf5wPHA8
Masmak Palace Museum,Riyadh,Public museums,"A historic fort located in the Deira neighborhood in the center of the capital, Riyadh, built in 1895, and is considered one of the few original buildings in Riyadh that survives to the present. Converted into a museum and opened on June 11, 1995, it displays the stages of the establishment of the Kingdom by the late King Abdulaziz.",https://maps.app.goo.gl/WWcPEKVueAhg1h42A
Tareq Abdel Hakim Museum,Mecca,Public museums,"Inaugurated in 2023 in the historic area of Jeddah, it builds on the legacy of the great musician Tariq Abdul Hakim (1920-2012) and aims to preserve the music, performing arts and intangible cultural heritage of the Kingdom of Saudi Arabia. It includes a museum that commemorates the biography and legacy of the late musician, and a music research center that makes it easy for researchers to benefit from extensive music content and archives.",https://maps.app.goo.gl/3cC73rFZwf1XikSk7
Museum of World Cultures,Riyadh,Public museums,"Scheduled to open in 2026 at the Royal Art Complex in King Salman Park in Riyadh, with its stunning 110-meter-high architectural design by Spanish architect Ricardo Bovill, the museum seeks to highlight the heritage of the Kingdom and the Arabian Peninsula, and to present the cultures of the world from all seven continents. It also houses a rich collection of collectibles, from artifacts to artworks borrowed from major national and international collections, that tell tales of the interaction between the Kingdom and the world through the ages, and allow visitors to discover the common values of human beings and their amazing achievements over thousands of years.",https://maps.app.goo.gl/rGW4H7qZri8AgSBq9
Black Gold Museum,Riyadh,Public museums,"A museum under construction located at the King Abdullah Petroleum Studies Center in Riyadh. It tells the story of oil and its relationship to man, from its formation as a raw material to its contemporary influences through innovative artworks, archival materials and educational models, and invites visitors to reconsider the narrative surrounding oil and its historical, economic, social and cultural aspects. The museum also offers annual exhibitions and cultural and educational programs for all age groups.",https://maps.app.goo.gl/f27SQ97rhQAp6QWX6
Saudi National Museum,Riyadh,Public museums,"It was opened in 1999 and is located in the Al-Murabba neighborhood, in the center of the capital, on a land area of 17,000 square meters, and consists of eight exhibition halls, divided according to the topics of the natural, humanitarian, cultural, political and religious development of the Arabian Peninsula, leading to the development of the Kingdom of Saudi Arabia through three stages of time.",https://maps.app.goo.gl/3cPLKDciVFN38wgA8
(Temporary Hall) Saudi Museum of Contemporary Art in Jax,Riyadh,Public museums,"It is the first museum specialized in contemporary art in the Kingdom and is known by its abbreviation «Samoka». Opened its doors in November 2023 in the Jax district of Diriyah Governorate, Riyadh, the museum aims to be a vital platform for creative expression, providing a space for local and international artists to exhibit their work and interact with a wide audience.",https://maps.app.goo.gl/d8yuuen4CA8oRvSa6
Najran Museum of Clay Architecture,Najran,Regional museums,"A cosmopolitan center in Najran celebrates terracotta architecture and links it to contemporary designs, showcasing its history in the Arabian Peninsula and the world. It highlights the similarities and differences between diverse cultures, presenting temporary exhibitions highlighting terracotta architecture from other regions of the world, in an effort to open a global dialogue on sustainable building practices.",https://maps.app.goo.gl/sDUZ9DtsC9u1qDT3A
